iterations          x          y          z          w
         1     0.0000     0.0000     0.0000     0.0000
         2     1.8000     0.1714     0.6457     0.9314
         3     1.5189    -0.2390     0.6540     0.8970
         4     1.4420    -0.2206     0.6879     0.9124
         5     1.4358    -0.2338     0.6899     0.9101
         6     1.4332    -0.2333     0.6914     0.9105
         7     1.4330    -0.2338     0.6915     0.9104
         8     1.4329    -0.2338     0.6915     0.9105
         9     1.4328    -0.2338     0.6915     0.9104
        10     1.4328    -0.2338     0.6915     0.9104
